CCN,Address,State,ZIP,Hospital Type,Ownership,ED Services,Abdominopelvic Accidental Puncture Or Laceration Rate,Death Rate Among Surgical Inpatients With Serious Treatable Complications,Death Rate For Cabg Surgery Patients,Death Rate For Copd Patients,Death Rate For Heart Failure Patients,Death Rate For Pneumonia Patients,Hybrid Hospital Wide All Cause Risk Standardized Mortality Rate,Iatrogenic Pneumothorax Rate,In Hospital Fall Associated Fracture Rate,Mort 30 Ami,Mort 30 Stk,Perioperative Pulmonary Embolism Or Deep Vein Thrombosis Rate,Postoperative Acute Kidney Injury Requiring Dialysis Rate,Postoperative Hemorrhage Or Hematoma Rate,Postoperative Respiratory Failure Rate,Postoperative Sepsis Rate,Postoperative Wound Dehiscence Rate,Pressure Ulcer Rate,Medicare Hospital Spending Per Patient Medicare Spending Per Beneficiary
231331,3565 S STATE ROAD,MI,48846,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,7.7,12.5,15.0,4.0,,,,,,,,,,,,
231332,408 HAZEN STREET,MI,49079,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,8.8,12.6,14.4,3.9,,,,,,,,,,,,
231333,N10561 GRAND VIEW LANE,MI,49938,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,7.8,13.7,19.4,4.2,,,,,,,,,,,,
231337,3401 LUDINGTON ST,MI,49829,Critical Access Hospitals,Voluntary non-profit - Church,Yes,,,,9.2,13.2,16.2,4.4,,,,,,,,,,,,
231338,212 S SULLIVAN ST,MI,49412,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,8.1,11.9,17.7,3.7,,,,,,,,,,,,
231339,1009 W GREEN ST,MI,49058,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,,,8.3,11.2,18.4,4.1,,,,,,,,,,,,
231319,205 OSCEOLA,MI,49913,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,13.0,20.8,4.4,,,,,,,,,,,,
230230,1215 E MICHIGAN AVENUE,MI,48912,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.98,184.12,2.6,9.5,11.4,17.8,4.4,0.26,0.28,13.9,13.1,3.47,1.32,4.0,15.77,5.51,1.89,1.38,0.98
230227,1000 HARRINGTON ST,MI,48043,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.35,172.89,2.1,10.1,10.7,18.3,4.3,0.25,0.34,12.1,13.0,3.91,2.48,2.6,10.04,3.76,1.73,0.83,1.02
230217,200 N MADISON,MI,49068,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.84,,,9.5,15.0,18.6,4.3,0.24,0.28,,12.0,3.43,1.64,2.58,10.5,5.11,1.85,0.94,0.88
230046,"1500 E MEDICAL CENTER DRIVE, SPC 5474",MI,48109,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.73,198.05,2.1,8.4,8.9,11.4,3.2,0.33,0.29,10.8,14.0,3.3,2.49,3.66,10.83,7.0,2.93,0.59,0.95
230047,15855 NINETEEN MILE RD,MI,48038,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.6,201.8,2.7,8.8,11.4,15.2,4.0,0.25,0.33,11.0,15.3,5.21,1.29,2.8,7.39,4.12,1.86,0.49,1.0
230053,2799 W GRAND BLVD,MI,48202,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.81,201.71,1.9,8.0,12.2,17.3,4.0,0.2,0.33,14.6,11.2,4.21,0.85,2.6,8.02,3.49,3.05,0.74,0.98
230054,850 W BARAGA AVE,MI,49855,Acute Care Hospitals,Government - Local,Yes,1.33,211.58,2.5,7.3,13.7,18.4,4.1,0.2,0.32,12.5,11.1,4.17,1.52,3.36,15.3,5.16,2.0,1.07,0.95
230055,1721 S STEPHENSON AVE,MI,49801,Acute Care Hospitals,Government - Local,Yes,0.83,,,10.2,11.3,14.5,4.2,0.36,0.32,,15.7,3.99,1.67,2.74,11.59,6.13,2.2,0.41,0.94
230058,1100 E MICHIGAN AVE,MI,49738,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.84,,,10.6,13.1,15.6,4.3,0.24,0.28,,13.7,3.68,,2.8,,,1.83,0.48,0.89
230059,200 JEFFERSON AVENUE SE,MI,49503,Acute Care Hospitals,Voluntary non-profit - Church,Yes,1.11,171.66,,8.8,10.6,15.4,4.3,0.26,0.28,12.3,13.9,5.67,1.48,1.93,8.3,6.11,1.66,1.01,0.94
23005F,325 EAST H STREET,MI,49801,Acute Care - Veterans Administration,Veterans Health Administration,No,,,,,14.3,14.4,,0.25,0.29,,,,,,,,,0.57,
230066,1500 E SHERMAN BLVD,MI,49441,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.71,217.08,2.6,8.5,13.6,14.7,4.3,0.35,0.33,12.4,12.5,3.13,1.89,3.14,13.32,5.12,1.72,0.97,0.94
230069,620 BYRON RD,MI,48843,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.84,,,7.5,10.2,13.9,3.7,0.24,0.27,,11.3,4.49,1.68,2.35,9.84,5.43,1.83,0.38,0.88
230070,1447 N HARRISON,MI,48602,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.14,197.39,2.0,9.3,10.4,18.7,3.7,0.25,0.22,13.5,14.6,4.77,1.91,3.2,10.45,8.56,1.97,0.86,1.02
230071,23901 LAHSER,MI,48033,Acute Care Hospitals,Voluntary non-profit - Private,No,,,,,,,5.5,0.25,0.29,,,,,,,,,0.6,1.13
230072,602 MICHIGAN AVE,MI,49423,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.82,,,11.1,15.4,17.1,3.9,0.23,0.27,11.0,13.1,3.31,1.64,2.24,8.59,5.09,1.81,1.23,0.95
230075,300 NORTH AVENUE,MI,49017,Acute Care Hospitals,Proprietary,Yes,0.97,,,8.6,12.2,15.9,3.7,0.23,0.3,,11.4,4.45,1.54,2.78,10.93,6.77,1.71,0.79,0.94
230077,800 S WASHINGTON AVENUE,MI,48601,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.68,157.35,2.7,7.4,11.8,17.0,4.5,0.2,0.25,12.3,12.2,4.74,1.5,2.4,11.82,5.75,1.68,0.73,1.0
230041,1900 COLUMBUS AVE,MI,48708,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.9,187.34,2.6,8.7,10.3,17.0,4.1,0.25,0.3,11.9,14.0,3.32,1.98,3.17,7.35,5.76,1.67,0.42,0.99
230078,400 MEDICAL PARK DR,MI,49098,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
230038,100 MICHIGAN ST NE,MI,49503,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.8,122.02,2.7,8.6,11.6,12.3,3.3,0.2,0.27,10.9,12.2,4.37,2.6,3.59,12.93,3.12,2.11,0.86,0.96
230036,1501 W CHISHOLM ST,MI,49707,Acute Care Hospitals,Proprietary,Yes,0.81,,,8.6,15.0,15.2,4.3,0.39,0.31,12.4,12.8,4.12,1.66,2.26,9.06,6.94,1.77,0.76,0.94
230222,4000 WELLNESS DRIVE,MI,48670,Acute Care Hospitals,Voluntary non-profit - Other,No,1.21,212.39,2.6,7.3,10.2,18.3,4.5,0.21,0.23,12.6,13.1,4.94,2.32,3.01,15.63,5.55,1.64,1.78,0.95
230003,8333 FELCH ST,MI,49464,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.87,,,,12.5,14.5,3.8,0.25,0.29,,,3.78,1.69,2.39,9.88,5.52,1.86,0.53,0.84
230002,36475 FIVE MILE ROAD,MI,48154,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.34,219.56,,7.4,11.6,17.7,4.0,0.23,0.21,12.7,13.1,2.53,1.55,3.02,7.93,5.97,2.01,0.12,0.96
230005,5640 N ADRIAN HIGHWAY,MI,49221,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.84,,,9.6,13.4,16.7,4.7,0.3,0.32,12.3,14.8,3.97,1.67,2.35,9.42,5.25,1.8,0.38,0.93
230013,461 w huron st,MI,48341,Acute Care Hospitals,Proprietary,No,,,,,,,,,,,,,,,,,,,
230017,601 JOHN STREET,MI,49007,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.42,175.44,2.8,8.9,12.4,18.0,3.6,0.31,0.22,13.2,15.1,4.79,1.66,5.34,10.8,5.27,2.61,0.82,0.92
230019,16001 W NINE MILE RD,MI,48075,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.89,147.97,1.9,6.7,10.5,12.0,3.2,0.2,0.18,11.9,12.6,2.88,1.43,2.23,7.87,5.31,1.46,0.16,0.96
230020,18101 OAKWOOD BLVD,MI,48124,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.1,168.7,2.4,6.1,8.5,12.0,3.5,0.3,0.34,11.9,11.9,2.84,2.56,1.92,5.84,4.85,1.62,0.98,1.05
230021,1234 NAPIER AVENUE,MI,49085,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.05,183.88,2.5,7.7,11.7,15.8,4.2,0.29,0.27,12.8,12.5,3.52,1.43,2.85,8.41,5.33,2.39,0.68,0.93
230022,274 E CHICAGO ST,MI,49036,Acute Care Hospitals,Government - Local,Yes,1.07,,,8.8,12.9,19.7,4.9,0.24,0.28,,15.5,3.49,1.68,2.36,12.46,5.44,1.79,0.4,0.91
230024,6071 W OUTER DRIVE,MI,48235,Acute Care Hospitals,Proprietary,Yes,1.18,186.6,,8.3,10.4,15.9,4.1,0.31,0.24,13.1,13.1,4.5,1.67,2.34,10.02,6.51,2.17,2.04,1.03
230029,44405 WOODWARD AVE,MI,48341,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.13,207.62,2.3,8.0,10.4,15.5,4.4,0.44,0.27,12.9,14.5,3.05,1.66,2.02,10.02,6.53,1.58,0.78,0.98
230030,300 E WARWICK DR,MI,48801,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.83,,,9.3,13.3,22.5,4.6,0.29,0.28,,12.7,3.48,1.68,2.71,9.45,6.23,1.8,0.34,0.98
230031,2601 ELECTRIC AVENUE,MI,48060,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.84,,,8.0,9.5,16.4,3.6,0.23,0.31,,12.6,3.42,1.64,2.31,9.03,5.3,1.8,0.32,0.84
230035,615 S BOWER STREET,MI,48838,Acute Care Hospitals,Voluntary non-profit - Other,No,0.87,,,7.4,12.5,14.2,4.0,0.24,0.28,,11.4,4.37,,2.41,,,1.85,0.5,0.85
230037,168 S HOWELL STREET,MI,49242,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.85,,,8.7,11.1,17.7,4.4,0.24,0.28,,16.1,3.64,1.68,2.38,17.63,6.16,1.83,1.11,0.9
230080,1221 SOUTH DRIVE,MI,48858,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.11,,,11.3,11.9,20.6,4.7,0.24,0.28,,,4.0,1.67,2.36,9.36,5.4,1.84,0.46,0.87
230015,701 S HEALTH PARKWAY,MI,49093,Acute Care Hospitals,Government - Hospital District or Authority,No,0.87,,,8.1,13.7,16.9,4.1,0.25,0.29,,,3.81,,2.4,,,,0.57,1.08
230085,955 S BAILEY AVE,MI,49090,Acute Care Hospitals,Government - Hospital District or Authority,Yes,,,,,11.4,16.8,4.4,0.25,0.29,,,,,,,,,0.61,0.89
230144,135 S PROSPECT ST,MI,48198,Acute Care Hospitals,Government - Hospital District or Authority,No,0.88,,,,,,,0.25,0.29,,,3.88,1.69,2.41,9.82,5.53,1.87,,
230146,2333 BIDDLE AVE,MI,48192,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.74,186.62,,8.2,10.5,16.2,4.2,0.19,0.31,13.3,14.1,4.09,1.55,1.91,6.79,4.57,1.76,0.76,1.02
230151,28050 GRAND RIVER AVENUE,MI,48336,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.95,169.23,,8.2,11.3,13.9,3.4,0.35,0.27,12.1,12.7,3.65,1.64,1.91,7.84,4.96,1.73,0.61,1.0
230156,5301 E HURON RIVER DR,MI,48106,Acute Care Hospitals,Voluntary non-profit - Church,Yes,1.42,206.68,1.6,7.6,9.0,12.7,3.2,0.28,0.31,9.9,11.2,3.87,1.63,2.85,6.23,7.38,1.75,0.53,0.93
230165,22101 MOROSS RD,MI,48236,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.96,178.5,4.8,11.7,9.9,17.0,4.0,0.29,0.24,12.6,14.5,3.89,1.97,2.7,13.38,6.66,1.94,0.48,1.0
230167,2900 COLLINS ROAD,MI,48910,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.75,179.97,2.2,9.4,14.9,22.9,4.1,0.21,0.33,12.1,13.0,3.11,1.46,2.56,9.32,5.37,1.76,1.82,0.96
230174,1309 SHELDON RD,MI,49417,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.88,,,,13.5,17.5,4.2,0.25,0.29,,,3.85,,2.43,,,,0.62,0.91
230176,5450 FORT STREET,MI,48183,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.74,144.51,,7.1,11.8,13.5,4.2,0.26,0.25,12.5,16.2,3.3,1.65,2.4,8.67,5.22,1.74,0.41,0.99
230180,703 N MCEWAN ST,MI,48617,Acute Care Hospitals,Voluntary non-profit - Other,No,0.88,,,9.1,15.2,18.5,5.0,0.25,0.29,,13.3,3.83,,2.42,,,,0.56,0.84
230193,1375 N MAIN ST,MI,48446,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.81,,,9.7,12.6,18.8,4.3,0.23,0.27,12.5,12.9,5.01,1.67,2.22,9.55,5.43,2.6,0.63,0.93
230195,11800 EAST TWELVE MILE ROAD,MI,48093,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.61,209.41,,8.0,12.5,14.9,4.2,0.21,0.24,12.2,11.4,3.19,1.51,2.48,14.43,7.84,1.55,0.64,1.05
230207,50 N PERRY ST,MI,48342,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.82,,,,9.3,14.4,4.0,0.24,0.32,12.0,13.8,4.26,1.64,2.29,9.01,5.18,1.81,0.66,0.97
230208,406 EAST ELM ST,MI,48811,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,,,9.3,10.8,16.4,3.9,0.25,0.29,,,,,,,,,0.61,0.88
230081,400 HOBART ST,MI,49601,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.83,,,7.8,12.5,16.6,4.2,0.24,0.28,,13.2,3.93,1.66,2.73,9.23,5.14,1.81,0.42,0.85
230216,1221 PINE GROVE AVE,MI,48061,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.72,180.57,2.7,9.0,13.6,20.0,4.6,0.21,0.32,13.8,13.5,3.65,1.52,2.52,12.27,5.31,2.09,0.19,0.92
230142,33155 ANNAPOLIS AVE,MI,48184,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.83,,,9.2,10.3,17.7,3.8,0.23,0.27,11.6,12.8,3.29,1.67,2.22,9.51,5.38,1.84,0.88,1.05
230141,401 S BALLENGER HIGHWAY,MI,48532,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.03,196.99,2.0,10.2,11.6,18.3,4.1,0.18,0.23,12.4,16.1,4.69,1.96,2.08,12.82,7.28,1.64,0.64,0.98
230197,ONE GENESYS PARKWAY,MI,48439,Acute Care Hospitals,Voluntary non-profit - Church,Yes,0.85,188.34,2.7,7.7,12.4,16.3,4.7,0.24,0.26,13.6,11.3,3.56,1.93,3.45,19.06,4.8,1.59,0.58,0.97
230132,ONE HURLEY PLAZA,MI,48503,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1.2,195.16,,8.8,11.1,14.4,4.7,0.22,0.29,12.1,13.6,4.26,1.64,2.29,9.96,4.96,1.69,0.36,1.0
230133,825 N CENTER AVE,MI,49735,Acute Care Hospitals,Voluntary non-profit - Private,No,0.83,,,10.4,12.9,15.1,4.0,0.25,0.33,,11.8,3.64,1.67,2.36,9.13,5.35,1.8,0.51,0.92
230089,468 CADIEUX RD,MI,48230,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.72,167.73,,7.8,8.4,12.2,3.5,0.3,0.24,11.5,11.4,4.84,1.95,2.32,8.87,6.13,1.7,0.17,0.88
230093,605 OAK STREET,MI,49307,Acute Care Hospitals,Voluntary non-profit - Private,Yes,0.88,,,9.6,10.5,13.5,3.7,0.24,0.33,,12.9,3.84,,2.42,,,,0.49,0.87
230097,1105 SIXTH STREET,MI,49684,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1.01,220.53,2.2,10.4,12.9,13.1,3.3,0.23,0.36,13.9,13.6,3.61,1.34,2.87,6.35,6.35,1.46,0.63,0.91
230099,718 N MACOMB ST,MI,48162,Acute Care Hospitals,Voluntary non-profit - Other,Yes,1.26,,,10.0,12.3,19.1,4.3,0.23,0.3,13.8,14.7,4.33,1.66,2.27,13.72,5.96,2.15,0.29,0.97
230100,200 HEMLOCK,MI,48764,Acute Care Hospitals,Government - Hospital District or Authority,Yes,0.88,,,8.7,14.6,16.2,4.4,0.25,0.29,,,3.84,,2.42,,,,0.56,0.9
230104,3990 JOHN R STREET,MI,48201,Acute Care Hospitals,Proprietary,Yes,0.99,139.18,4.0,7.4,8.3,15.8,3.9,0.39,0.3,13.7,,6.99,1.61,2.88,15.25,7.73,1.78,0.79,0.94
230095,2463 SOUTH M-30,MI,48661,Acute Care Hospitals,Government - Local,Yes,0.87,,,7.9,10.9,17.6,4.5,0.24,0.28,,11.9,5.6,1.68,2.37,12.54,6.36,1.84,0.47,0.93
230108,500 CAMPUS DRIVE,MI,49930,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.85,,,,12.8,14.3,3.8,0.25,0.37,,,4.2,1.68,2.39,9.68,,1.83,0.56,0.86
230130,3601 W THIRTEEN MILE RD,MI,48073,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.35,173.71,2.4,9.5,7.7,14.2,3.0,0.25,0.27,10.9,11.5,5.31,1.61,3.7,12.13,6.24,3.93,1.79,1.02
23012F,5500 ARMSTRONG RD.,MI,49037,Acute Care - Veterans Administration,Veterans Health Administration,No,,,,,,,,,,,,,,,,,,,
230105,416 CONNABLE AVE,MI,49770,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.93,181.37,1.9,8.1,13.1,16.7,4.2,0.2,0.25,12.7,13.9,2.35,1.74,1.62,5.66,5.08,1.72,0.21,0.95
230121,826 WEST KING STREET,MI,48867,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.8,,,8.8,13.4,18.2,4.2,0.3,0.35,,12.8,3.34,1.64,2.7,9.38,5.18,2.2,1.23,0.88
230092,205 N EAST AVE,MI,49201,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.63,192.04,2.3,9.9,12.3,16.1,3.9,0.18,0.33,13.4,13.5,3.81,1.33,3.39,8.38,4.55,1.66,0.13,0.9
23011F,2215 FULLER ROAD,MI,48105,Acute Care - Veterans Administration,Veterans Health Administration,Yes,1.06,202.86,,9.4,8.7,12.6,,0.44,0.36,10.2,,3.37,1.54,2.08,8.93,4.49,1.89,0.48,
230117,1521 GULL ROAD,MI,49048,Acute Care Hospitals,Voluntary non-profit - Other,Yes,0.89,177.21,1.9,10.2,14.1,21.0,4.1,0.33,0.28,13.2,16.3,4.09,2.43,2.93,8.92,4.64,1.63,0.85,0.93
230110,ONE N ATKINSON DRIVE,MI,49431,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1.1,,,7.3,13.9,12.6,4.1,0.24,0.36,,10.9,4.17,1.66,2.38,8.63,5.31,1.84,0.44,0.84
241343,345 TENTH AVENUE,MN,56241,Critical Access Hospitals,Government - Local,Yes,,,,,,,,,,,,,,,,,,,
241344,715 DELMORE DRIVE,MN,56751,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,21.1,4.3,,,,,,,,,,,,
241345,501 NORTH STATE STREET,MN,56093,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,14.5,4.1,,,,,,,,,,,,
241346,32021 COUNTY 24 BOULEVARD,MN,55009,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,3.9,,,,,,,,,,,,
241347,112 ST OLAF AVENUE SOUTH,MN,56220,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,,,,17.2,3.9,,,,,,,,,,,,
241348,240 WILLOW STREET,MN,56178,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,19.0,,,,,,,,,,,,,
241349,200 1ST STREET WEST,MN,56362,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,17.0,4.2,,,,,,,,,,,,
241351,100 FALLWOOD ROAD,MN,56283,Critical Access Hospitals,Government - Local,Yes,,,,,,16.5,4.5,,,,,,,,,,,,
241358,425 7TH STREET NW,MN,56633,Critical Access Hospitals,Government - Federal,Yes,,,,,,,,,,,,,,,,,,,
241354,421 11TH STREET NW,MN,56482,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,,,,16.1,14.8,4.1,,,,,,,,,,,,
241355,1805 HENNEPIN AVENUE NORTH,MN,55336,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,,,,10.9,,4.5,,,,,,,,,,,,
241356,200 NORTH ELM STREET,MN,56359,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,,,,,,4.4,,,,,,,,,,,,
241357,900 HILLIGOSS BOULEVARD SE,MN,56542,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,4.4,,,,,,,,,,,,
241353,320 EAST MAIN STREET,MN,56441,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,,,11.6,18.4,4.1,,,,,,,,,,,,
241336,1010 SOUTH BIRCH AVENUE,MN,56728,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
241341,30 S BEHL ST,MN,56208,Critical Access Hospitals,Government - Local,Yes,,,,,,,,,,,,,,,,,,,
241340,5211 HIGHWAY 110,MN,55705,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
241339,503 E LINCOLN STREET,MN,56136,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
241338,500 WEST GRANT STREET,MN,55041,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,4.4,,,,,,,,,,,,
241337,300 WEST GOOD SAMARITAN DRIVE,MN,56762,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,4.0,,,,,,,,,,,,
241335,1200 GRANT BLVD W,MN,55981,Critical Access Hospitals,Proprietary,Yes,,,,,,,4.4,,,,,,,,,,,,
241334,1900 NORTH SUNRISE DRIVE,MN,56082,Critical Access Hospitals,Government - Local,Yes,,,,,,,4.5,,,,,,,,,,,,
241333,1101 MOULTON AND PARSONS DRIVE,MN,56081,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,17.3,3.9,,,,,,,,,,,,
241332,"2150 HOSPITAL DRIVE, PO BOX 339",MN,56101,Critical Access Hospitals,Government - Local,Yes,,,,,,,4.4,,,,,,,,,,,,
241330,525 WEST MAIN STREET,MN,56352,Critical Access Hospitals,Voluntary non-profit - Private,No,,,,,11.6,14.5,4.2,,,,,,,,,,,,
241329,49725 COUNTY ROAD 83,MN,56479,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,,,,,17.7,4.5,,,,,,,,,,,,
241328,203 4TH STREET NORTHWEST,MN,56621,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
241359,300 SOUTH BRUCE STREET,MN,56258,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,14.5,4.2,,,,,,,,,,,,
241327,400 FOURTH AVENUE NORTHWEST,MN,56085,Critical Access Hospitals,Government - Local,Yes,,,,,,18.1,4.8,,,,,,,,,,,,
241342,450 EASTVOLD AVE,MN,56278,Critical Access Hospitals,Government - Local,Yes,,,,,,19.7,4.0,,,,,,,,,,,,
241360,115 10TH AVENUE NORTHEAST,MN,56636,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,4.2,,,,,,,,,,,,
241378,1324 FIFTH NORTH STREET,MN,56073,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,11.2,13.1,3.9,,,,,,,,,,,,
241362,1013 HART BOULEVARD,MN,55362,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,16.1,4.1,,,,,,,,,,,,
241326,50 CENTRACARE DRIVE,MN,56347,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,14.0,4.0,,,,,,,,,,,,
244018,120 LABREE AVENUE SOUTH,MN,56701,Psychiatric,Voluntary non-profit - Private,No,,,,,,,,,,,,,,,,,,,
244017,251 WOOD LAKE DRIVE SOUTHEAST,MN,55904,Psychiatric,Government - State,No,,,,,,,,,,,,,,,,,,,
244015,14241 GRAND OAKS DRIVE,MN,56425,Psychiatric,Government - State,No,,,,,,,,,,,,,,,,,,,
244014,800 BEMIDJI AVENUE NORTH,MN,56601,Psychiatric,Government - State,No,,,,,,,,,,,,,,,,,,,
244013,1801 WEST ALCOTT AVENUE,MN,56537,Psychiatric,Government - State,No,,,,,,,,,,,,,,,,,,,
244012,1610 8TH AVENUE EAST,MN,56308,Psychiatric,Government - State,No,,,,,,,,,,,,,,,,,,,
244011,400 ANNANDALE BOULEVARD,MN,55302,Psychiatric,Government - State,No,,,,,,,,,,,,,,,,,,,
244005,2301 TRANSPORTATION DRIVE NE,MN,56201,Psychiatric,Government - State,No,,,,,,,,,,,,,,,,,,,
244002,3301 7TH AVE NORTH,MN,55303,Psychiatric,Government - State,No,,,,,,,,,,,,,,,,,,,
243302,2525 CHICAGO AVENUE SOUTH,MN,55404,Childrens,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
243300,200 UNIVERSITY AVENUE EAST,MN,55106,Childrens,Government - Hospital District or Authority,No,,,,,,,,,,,,,,,,,,,
241381,3001 SANFORD PARKWAY,MN,56701,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,22.0,4.2,,,,,,,,,,,,
241380,600 PLEASANT AVENUE,MN,56470,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,17.9,16.0,4.2,,,,,,,,,,,,
241361,301 2ND STREET NORTHEAST,MN,56071,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,10.0,16.7,4.0,,,,,,,,,,,,
241379,1411 HIGHWAY 79 E,MN,56531,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
241376,10 4TH AVENUE SOUTHEAST,MN,56334,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,,,14.3,17.4,4.4,,,,,,,,,,,,
241375,621 SOUTH FOURTH STREET,MN,56058,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,,,,,,,,,,,,,
241374,916 4TH AVENUE SOUTHWEST,MN,56164,Critical Access Hospitals,Government - Local,Yes,,,,,,,4.2,,,,,,,,,,,,
241373,1000 CONEY STREET WEST,MN,56573,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,,,13.7,16.6,4.1,,,,,,,,,,,,
241372,820 THIRD AVENUE,MN,56256,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,,4.3,,,,,,,,,,,,
241371,1600 N KNISS AVENUE P O BOX 1019,MN,56156,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,,22.7,4.1,,,,,,,,,,,,
241370,815 SOUTHEAST SECOND STREET,MN,56345,Critical Access Hospitals,Voluntary non-profit - Private,Yes,,,,,10.9,14.2,4.5,,,,,,,,,,,,
241369,515 SOUTH MOORE STREET,MN,56013,Critical Access Hospitals,Government - Hospital District or Authority,Yes,,,,,11.3,18.6,4.4,,,,,,,,,,,,
